PLAYER_ID,PLAYER_NAME,FG3M,FG3A,FG3_PCT,GP,MIN,SEASON
2403,Nene,0,2,0.0,55,1315.3866666666668,2004-05
1918,Obinna Ekezie,0,1,0.0,42,729.5533333333333,2004-05
970,Othella Harrington,0,0,0.0,70,1278.0633333333333,2004-05
136,P.J. Brown,0,0,0.0,82,2825.455,2004-05
2750,Pavel Podkolzin,0,0,0.0,5,7.581666666666667,2004-05
2762,Peter John Ramos,0,0,0.0,6,19.57,2004-05
1542,Predrag Drobnjak,25,71,0.352,71,1437.8783333333333,2004-05
2056,Primoz Brezec,0,0,0.0,72,2282.5416666666665,2004-05
2737,Rafael Araujo,1,3,0.333,59,735.595,2004-05
739,Rasheed Wallace,75,236,0.318,79,2696.3116666666665,2004-05
1725,Rasho Nesterovic,0,0,0.0,70,1783.1066666666666,2004-05
109,Robert Horry,51,138,0.37,75,1410.1716666666666,2004-05
2741,Robert Swift,0,0,0.0,16,69.68833333333333,2004-05
1714,Robert Traylor,0,8,0.0,74,1329.3366666666666,2004-05
2223,Samuel Dalembert,0,0,0.0,72,1790.815,2004-05
1513,Scot Pollard,0,0,0.0,49,866.97,2004-05
281,Scott Williams,0,1,0.0,19,151.68333333333334,2004-05
1752,Sean Marks,0,3,0.0,23,241.61,2004-05
406,Shaquille O'Neal,0,0,0.0,73,2497.43,2004-05
762,Shawn Bradley,0,0,0.0,77,881.6066666666667,2004-05
2212,Steven Hunter,0,1,0.0,76,1050.6666666666667,2004-05
689,Theo Ratliff,0,0,0.0,63,1723.905,2004-05
1495,Tim Duncan,3,9,0.333,66,2205.3783333333336,2004-05
1499,Tony Battie,0,6,0.0,81,1909.5066666666667,2004-05
763,Tony Massenburg,0,0,0.0,61,691.765,2004-05
2199,Tyson Chandler,0,2,0.0,80,2187.5333333333333,2004-05
958,Vitaly Potapenko,0,1,0.0,33,335.4633333333333,2004-05
124,Vlade Divac,0,0,0.0,15,130.92166666666665,2004-05
1917,Wang Zhi-zhi,2,3,0.667,20,90.72333333333333,2004-05
2397,Yao Ming,0,0,0.0,80,2459.3333333333335,2004-05
2560,Zarko Cabarkapa,13,36,0.361,40,475.5133333333333,2004-05
2585,Zaza Pachulia,0,1,0.0,74,1395.9633333333334,2004-05
1442,Zeljko Rebraca,0,0,0.0,58,928.3333333333334,2004-05
1985,Zendon Hamilton,0,0,0.0,16,160.91666666666666,2004-05
980,Zydrunas Ilgauskas,2,7,0.286,78,2615.3783333333336,2004-05
1425,Aaron Williams,0,0,0.0,48,790.77,2005-06
1502,Adonal Foyle,0,0,0.0,77,1823.6116666666667,2005-06
673,Alan Henderson,0,0,0.0,51,530.7216666666667,2005-06
297,Alonzo Mourning,0,1,0.0,65,1302.0033333333333,2005-06
2405,Amar'e Stoudemire,0,1,0.0,3,50.45,2005-06
101115,Andrew Bynum,0,0,0.0,46,338.32166666666666,2005-06
2740,Andris Biedrins,0,0,0.0,68,1000.325,2005-06
213,Antonio Davis,0,1,0.0,44,940.1233333333333,2005-06
1112,Ben Wallace,0,4,0.0,82,2889.641666666667,2005-06
101238,Boniface Ndong,0,1,0.0,23,151.53833333333333,2005-06
1802,Brad Miller,34,88,0.386,79,2923.3566666666666,2005-06
2217,Brendan Haywood,0,0,0.0,79,1878.6116666666667,2005-06
258,Brian Grant,0,0,0.0,21,248.22666666666666,2005-06
1730,Brian Skinner,0,0,0.0,65,943.7233333333334,2005-06
1916,Calvin Booth,1,2,0.5,33,249.77333333333334,2005-06
2430,Carlos Boozer,0,0,0.0,33,1025.2366666666667,2005-06
2365,Chris Andersen,0,0,0.0,32,569.8066666666666,2005-06
2549,Chris Kaman,0,2,0.0,78,2560.451666666667,2005-06
2036,Chris Mihm,0,0,0.0,59,1541.4066666666668,2005-06
2404,Chris Wilcox,0,2,0.0,77,1529.83,2005-06
361,Clifford Robinson,60,175,0.343,80,1862.5133333333333,2005-06
2788,DJ Mbenga,0,1,0.0,43,237.11666666666667,2005-06
905,Dale Davis,0,1,0.0,28,177.745,2005-06
2429,Dan Gadzuric,0,1,0.0,74,885.0083333333333,2005-06
2545,Darko Milicic,0,2,0.0,55,766.6666666666666,2005-06
2758,David Harrison,0,0,0.0,67,1033.9433333333334,2005-06
2205,DeSagana Diop,1,2,0.5,81,1510.185,2005-06
87,Dikembe Mutombo,0,0,0.0,64,954.87,2005-06
101204,Dwayne Jones,0,0,0.0,14,86.51333333333334,2005-06
2730,Dwight Howard,0,2,0.0,82,3020.61,2005-06
2853,Earl Barron,0,0,0.0,8,44.873333333333335,2005-06
2204,Eddie Griffin,16,82,0.195,70,1359.3366666666666,2005-06
2201,Eddy Curry,0,0,0.0,72,1865.9333333333334,2005-06
2731,Emeka Okafor,0,0,0.0,26,874.1383333333333,2005-06
956,Erick Dampier,0,0,0.0,82,1934.0583333333334,2005-06
911,Ervin Johnson,0,0,0.0,18,80.865,2005-06
101212,Esteban Batista,0,1,0.0,57,494.88166666666666,2005-06
2041,Etan Thomas,0,0,0.0,71,1121.2066666666667,2005-06
1922,Francisco Elson,1,5,0.2,72,1579.2983333333334,2005-06
731,Greg Ostertag,0,0,0.0,60,807.0433333333333,2005-06
2775,Ha Ha,0,0,0.0,27,211.73666666666668,2005-06
101113,Ike Diogu,0,0,0.0,69,1031.4083333333333,2005-06
2866,Jackie Butler,0,0,0.0,55,739.66,2005-06
2761,Jackson Vroman,0,0,0.0,41,405.6433333333333,2005-06
2054,Jake Tsakalidis,0,0,0.0,51,732.4,2005-06
2063,Jake Voskuhl,1,3,0.333,51,817.7266666666667,2005-06
2048,Jamaal Magloire,0,0,0.0,82,2464.4566666666665,2005-06
2260,Jarron Collins,0,0,0.0,79,1729.4516666666666,2005-06
2215,Jason Collins,3,12,0.25,71,1894.86,2005-06
1902,Jeff Foster,0,4,0.0,63,1580.8416666666667,2005-06
979,Jermaine O'Neal,3,10,0.3,51,1802.3933333333334,2005-06
1744,Jerome James,0,0,0.0,45,405.9483333333333,2005-06
2038,Joel Przybilla,0,0,0.0,56,1395.335,2005-06
101130,Johan Petro,0,0,0.0,68,1282.2733333333333,2005-06
2823,John Edwards,0,0,0.0,40,295.99333333333334,2005-06
1519,John Thomas,0,0,0.0,2,36.083333333333336,2005-06
2668,Josh Davis,0,2,0.0,6,16.89666666666667,2005-06
1509,Kelvin Cato,0,0,0.0,27,333.2033333333333,2005-06
2570,Kendrick Perkins,0,2,0.0,68,1332.27,2005-06
703,Kurt Thomas,0,0,0.0,53,1411.115,2005-06
2198,Kwame Brown,0,1,0.0,72,1978.285,2005-06
2254,Loren Woods,0,1,0.0,27,324.02666666666664,2005-06
953,Lorenzen Wright,0,2,0.0,78,1688.795,2005-06
101195,Luke Schenscher,0,0,0.0,20,148.58333333333334,2005-06
1531,Marc Jackson,1,2,0.5,64,1027.1,2005-06
948,Marcus Camby,1,11,0.091,56,1856.9983333333332,2005-06
2435,Mario Kasun,0,0,0.0,28,212.70666666666668,2005-06
1548,Mark Blount,0,0,0.0,81,2239.556666666667,2005-06
2058,Mark Madsen,0,7,0.0,62,676.3666666666667,2005-06
101149,Martynas Andriuskevicius,0,0,0.0,6,9.366666666666667,2005-06
