SEASON,TEAM_ID,TEAM_NAME,GP,W,L,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,TOV,OFF_RATING,DEF_RATING,NET_RATING,PACE,EFG_PCT,TS_PCT
2013-14,1610612753,Orlando Magic,82,23,59,96.5,36.9,82.7,0.445,6.9,19.5,0.353,15.9,20.9,14.9,101.0,106.6,-5.7,94.27,0.487,0.525
2013-14,1610612755,Philadelphia 76ers,82,19,63,99.5,37.9,87.2,0.435,7.0,22.5,0.312,16.6,23.4,16.9,99.0,109.0,-10.0,99.74,0.475,0.51
2013-14,1610612756,Phoenix Suns,82,48,34,105.2,38.7,83.5,0.463,9.3,25.1,0.372,18.5,24.4,15.3,108.2,105.6,2.6,96.83,0.519,0.558
2013-14,1610612757,Portland Trail Blazers,82,54,28,106.7,39.1,87.0,0.45,9.4,25.3,0.372,19.1,23.5,13.7,110.4,106.2,4.2,95.9,0.504,0.548
2013-14,1610612758,Sacramento Kings,82,28,54,100.5,36.9,82.5,0.447,6.0,18.0,0.333,20.7,27.3,15.2,105.1,107.8,-2.7,95.04,0.484,0.532
2013-14,1610612759,San Antonio Spurs,82,62,20,105.4,40.6,83.5,0.486,8.5,21.4,0.397,15.7,20.0,14.4,109.5,101.4,8.1,95.87,0.537,0.571
2013-14,1610612761,Toronto Raptors,82,48,34,101.3,36.5,81.9,0.445,8.7,23.4,0.372,19.6,25.1,14.1,107.9,104.6,3.3,92.48,0.498,0.545
2013-14,1610612762,Utah Jazz,82,25,57,95.0,36.0,81.1,0.444,6.6,19.2,0.344,16.4,22.0,14.6,102.4,110.1,-7.6,92.32,0.484,0.523
2013-14,1610612764,Washington Wizards,82,44,38,100.7,38.7,84.4,0.459,7.9,20.8,0.38,15.3,20.9,14.7,104.9,103.6,1.3,94.18,0.506,0.538
2014-15,1610612737,Atlanta Hawks,82,60,22,102.5,38.1,81.7,0.466,10.0,26.2,0.38,16.5,21.2,14.2,108.2,102.3,5.9,94.66,0.527,0.563
2014-15,1610612738,Boston Celtics,82,40,42,101.4,38.9,87.9,0.443,8.0,24.6,0.327,15.4,20.5,13.8,103.8,103.5,0.3,96.71,0.489,0.523
2014-15,1610612751,Brooklyn Nets,82,38,44,98.0,37.4,83.0,0.451,6.6,19.9,0.331,16.6,22.2,13.8,103.4,106.3,-3.0,93.69,0.491,0.529
2014-15,1610612766,Charlotte Hornets,82,33,49,94.2,35.5,84.5,0.42,6.1,19.1,0.318,17.0,22.8,11.9,99.6,103.0,-3.4,93.45,0.456,0.498
2014-15,1610612741,Chicago Bulls,82,50,32,100.8,36.6,82.9,0.442,7.9,22.3,0.353,19.7,25.2,14.0,106.3,103.3,3.0,93.8,0.489,0.536
2014-15,1610612739,Cleveland Cavaliers,82,53,29,103.1,37.7,82.2,0.458,10.1,27.5,0.367,17.7,23.6,14.3,110.1,105.3,4.8,93.23,0.52,0.557
2014-15,1610612742,Dallas Mavericks,82,50,32,105.2,39.7,85.8,0.463,8.9,25.4,0.352,16.9,22.5,13.0,108.2,104.9,3.2,96.4,0.515,0.55
2014-15,1610612743,Denver Nuggets,82,30,52,101.5,37.8,87.3,0.433,8.0,24.8,0.325,17.8,24.3,14.2,103.9,107.1,-3.3,96.87,0.479,0.518
2014-15,1610612765,Detroit Pistons,82,32,50,98.5,37.1,85.8,0.432,8.6,24.9,0.344,15.8,22.4,13.4,104.3,105.4,-1.1,93.68,0.482,0.515
2014-15,1610612744,Golden State Warriors,82,67,15,110.0,41.6,87.0,0.478,10.8,27.0,0.398,16.0,20.8,14.5,110.4,100.4,9.9,99.28,0.54,0.571
2014-15,1610612745,Houston Rockets,82,56,26,103.9,37.0,83.3,0.444,11.4,32.7,0.348,18.6,26.0,16.7,106.0,102.6,3.4,97.36,0.512,0.548
2014-15,1610612754,Indiana Pacers,82,38,44,97.3,36.6,83.2,0.439,7.5,21.2,0.352,16.7,22.2,14.0,102.9,102.7,0.2,93.67,0.484,0.523
2014-15,1610612746,Los Angeles Clippers,82,56,26,106.7,39.4,83.3,0.473,10.1,26.9,0.376,17.9,25.2,12.3,111.6,104.7,6.9,95.4,0.533,0.565
2014-15,1610612747,Los Angeles Lakers,82,21,61,98.5,37.2,85.6,0.435,6.5,18.9,0.344,17.5,23.6,13.2,102.3,109.4,-7.1,95.03,0.473,0.513
2014-15,1610612763,Memphis Grizzlies,82,55,27,98.3,37.8,82.5,0.458,5.2,15.2,0.339,17.6,22.8,13.3,104.8,101.2,3.5,92.82,0.489,0.531
2014-15,1610612748,Miami Heat,82,37,45,94.7,35.2,77.2,0.456,6.8,20.2,0.335,17.5,23.7,14.8,103.2,106.1,-3.0,91.49,0.5,0.54
2014-15,1610612749,Milwaukee Bucks,82,41,41,97.8,37.6,82.0,0.459,6.6,18.3,0.363,16.0,21.1,16.7,102.0,101.4,0.6,94.82,0.499,0.536
2014-15,1610612750,Minnesota Timberwolves,82,16,66,97.8,36.4,83.2,0.438,5.0,14.9,0.332,20.0,25.7,15.0,101.8,110.9,-9.1,95.45,0.468,0.517
2014-15,1610612740,New Orleans Pelicans,82,45,37,99.4,37.9,82.9,0.457,7.1,19.3,0.37,16.4,21.8,13.3,107.1,106.3,0.8,92.29,0.501,0.537
2014-15,1610612752,New York Knicks,82,17,65,91.9,35.1,82.0,0.428,6.8,19.7,0.347,14.8,19.2,14.7,98.9,109.0,-10.1,92.06,0.47,0.508
2014-15,1610612760,Oklahoma City Thunder,82,45,37,104.0,38.8,86.8,0.447,7.7,22.7,0.339,18.6,24.6,14.7,106.7,104.6,2.1,96.61,0.492,0.532
2014-15,1610612753,Orlando Magic,82,25,57,95.7,37.5,82.8,0.453,6.8,19.5,0.347,13.9,19.1,14.9,101.0,106.8,-5.9,94.51,0.494,0.524
2014-15,1610612755,Philadelphia 76ers,82,18,64,92.0,33.7,82.6,0.408,8.4,26.3,0.32,16.1,23.8,17.7,94.9,103.9,-9.0,96.45,0.459,0.494
2014-15,1610612756,Phoenix Suns,82,39,43,102.4,38.8,85.8,0.452,8.5,25.0,0.341,16.4,21.5,15.1,104.2,105.3,-1.1,97.2,0.501,0.537
2014-15,1610612757,Portland Trail Blazers,82,51,31,102.8,38.7,86.0,0.45,9.8,27.2,0.362,15.5,19.4,13.6,107.1,102.8,4.3,95.06,0.508,0.544
2014-15,1610612758,Sacramento Kings,82,29,53,101.3,36.7,80.7,0.455,5.6,16.5,0.341,22.3,29.3,16.3,104.5,108.2,-3.7,96.16,0.49,0.542
2014-15,1610612759,San Antonio Spurs,82,55,27,103.2,39.1,83.6,0.468,8.3,22.5,0.367,16.7,21.4,14.0,107.6,101.4,6.3,94.45,0.517,0.555
2014-15,1610612761,Toronto Raptors,82,49,33,104.0,37.9,83.3,0.455,8.9,25.1,0.352,19.3,24.6,12.9,110.2,107.1,3.1,93.46,0.508,0.553
2014-15,1610612762,Utah Jazz,82,38,44,95.1,35.4,79.2,0.447,7.4,21.7,0.343,17.0,23.5,15.3,104.2,104.1,0.1,91.1,0.494,0.531
2014-15,1610612764,Washington Wizards,82,46,36,98.5,38.3,82.8,0.462,6.1,16.8,0.36,15.9,21.4,15.0,103.0,102.4,0.6,94.29,0.499,0.534
2015-16,1610612737,Atlanta Hawks,82,48,34,102.8,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,15.0,104.6,100.8,3.9,97.63,0.516,0.552
2015-16,1610612738,Boston Celtics,82,48,34,105.7,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,13.7,105.8,102.5,3.3,99.43,0.488,0.531
2015-16,1610612751,Brooklyn Nets,82,21,61,98.6,38.2,84.4,0.453,6.5,18.4,0.352,15.7,20.7,14.8,102.4,109.7,-7.4,96.12,0.492,0.527
2015-16,1610612766,Charlotte Hornets,82,48,34,103.4,37.0,84.4,0.439,10.6,29.4,0.362,18.7,23.7,12.5,106.4,103.7,2.7,96.24,0.502,0.545
2015-16,1610612741,Chicago Bulls,82,42,40,101.6,38.6,87.4,0.441,7.9,21.4,0.371,16.5,21.0,13.9,104.1,105.5,-1.4,96.6,0.487,0.526
2015-16,1610612739,Cleveland Cavaliers,82,57,25,104.3,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,13.6,110.2,103.9,6.3,93.82,0.524,0.558
2015-16,1610612742,Dallas Mavericks,82,42,40,102.3,37.4,84.1,0.444,9.8,28.6,0.344,17.7,22.3,12.8,105.5,105.9,-0.4,95.34,0.502,0.544
2015-16,1610612743,Denver Nuggets,82,33,49,101.9,37.7,85.4,0.442,8.0,23.7,0.338,18.5,24.1,14.7,104.9,108.2,-3.3,96.34,0.489,0.531
2015-16,1610612765,Detroit Pistons,82,44,38,102.0,37.9,86.4,0.439,9.0,26.2,0.345,17.1,25.5,13.5,105.3,104.9,0.3,95.75,0.491,0.522
2015-16,1610612744,Golden State Warriors,82,73,9,114.9,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,15.2,113.5,102.8,10.6,100.24,0.563,0.593
2015-16,1610612745,Houston Rockets,82,41,41,106.5,37.7,83.5,0.452,10.7,30.9,0.347,20.4,29.4,15.9,107.3,107.3,0.0,98.42,0.516,0.553
2015-16,1610612754,Indiana Pacers,82,45,37,102.2,38.3,85.2,0.45,8.1,23.0,0.351,17.4,22.8,14.9,103.8,102.2,1.6,97.35,0.497,0.536
2015-16,1610612746,LA Clippers,82,53,29,104.5,38.3,82.4,0.465,9.7,26.7,0.364,18.2,26.2,13.0,107.2,102.7,4.5,96.81,0.524,0.556
2015-16,1610612747,Los Angeles Lakers,82,17,65,97.3,35.1,84.8,0.414,7.8,24.6,0.317,19.3,24.7,13.7,100.7,110.3,-9.7,96.55,0.46,0.509
2015-16,1610612763,Memphis Grizzlies,82,42,40,99.1,36.8,83.6,0.44,6.1,18.5,0.331,19.3,24.7,13.3,104.7,107.1,-2.4,93.95,0.477,0.524
2015-16,1610612748,Miami Heat,82,48,34,100.0,38.4,81.7,0.47,6.1,18.0,0.336,17.1,23.0,14.1,105.5,103.7,1.7,94.14,0.508,0.545
2015-16,1610612749,Milwaukee Bucks,82,33,49,99.0,38.4,82.2,0.467,5.4,15.6,0.345,17.0,22.7,15.2,103.4,107.8,-4.5,95.05,0.499,0.537
2015-16,1610612750,Minnesota Timberwolves,82,29,53,102.4,37.7,81.3,0.464,5.5,16.4,0.338,21.4,27.0,15.0,105.4,109.0,-3.5,96.2,0.498,0.549
2015-16,1610612740,New Orleans Pelicans,82,30,52,102.7,38.5,85.9,0.448,8.6,23.8,0.36,17.3,22.2,13.4,104.8,108.4,-3.7,97.64,0.498,0.537
2015-16,1610612752,New York Knicks,82,32,50,98.4,36.9,84.0,0.439,7.4,21.5,0.346,17.2,21.4,13.4,103.9,106.7,-2.8,94.12,0.483,0.527
